pj,skeleton_length,index,scale_ratio,intersection3,intersection4,intersection5,intersection6,endpoint,Area,Peri,led,distance_average,area_per_skeleton,peri_per_skeleton,area_per_peri,led_density_area,led_density_skeleton,led_density_peri,area_skeleton_ratio,peri_area_ratio,led_per_area,led_per_skeleton,predicted_led,rel_error,error,abs_error
419411,814.1186441,26.0,1.372881356,3.0,3.0,0.0,0.0,3.0,12255.93292,1471.072382,49.0,7.487147111301775,15.05423442740193,1.8069508574223305,8.331291559792195,0.00399806365780925,0.060187787560336506,0.033309034007818115,0.018491450277550437,13.288037787116684,0.00399806365780925,0.060187787560336506,56.493134,0.15292109275350765,-7.493133544921875,7.493133544921875
416232,289.2857143,3.0,0.7142857143,3.0,0.0,0.0,0.0,5.0,4141.581633,664.8927485,30.0,6.480613933540746,14.316578483737452,2.2983946860593387,6.228946912631278,0.007243609485072295,0.10370370369858253,0.0451200589383477,0.04948940710183369,10.331621406861432,0.007243609485072295,0.10370370369858253,30.831934,0.02773113250732422,-0.8319339752197266,0.8319339752197266
410012,49.68398268,16.0,0.3085961657,0.0,0.0,0.0,0.0,2.0,827.0387738,125.8292391,6.0,7.375307821457529,16.64598386016505,2.532591638444714,6.572707422499227,0.007254798916418108,0.12076326567143872,0.04768367068668065,0.33503722854459883,4.37540878988746,0.007254798916418108,0.12076326567143872,5.899078,0.016820351282755535,0.1009221076965332,0.1009221076965332
420385,387.755102,2.0,0.8163265306,3.0,0.0,0.0,0.0,3.0,9057.55935,758.4229414,49.0,11.683101026076502,23.358968852458837,1.9559328490795718,11.942623113800233,0.005409845865376527,0.12636842106593352,0.06460775027394233,0.060241551257419264,7.969037439563414,0.005409845865376527,0.12636842106593352,47.899,0.0224694232551419,1.1010017395019531,1.1010017395019531
424477,227.5893536,11.0,0.9809885932,0.0,0.0,0.0,0.0,2.0,6727.709292,558.8268759,34.0,12.752851711026612,29.560738169784052,2.4554174747653925,12.038986638151416,0.0050537260937284865,0.14939187383851332,0.0608417409152744,0.12988629609510896,6.813082943029886,0.0050537260937284865,0.14939187383851332,34.371,0.010911717134363511,-0.3709983825683594,0.3709983825683594
409159,336.9602273,3.0,0.8238636364,3.0,0.0,0.0,0.0,3.0,2631.179381,738.4821713,34.0,3.346753055164864,7.808575516710545,2.1916004070193122,3.5629558617077475,0.01292196200894446,0.10090211617090751,0.046040380284533486,0.02317358217401269,14.396760711093993,0.01292196200894446,0.10090211617090751,33.641285,0.010550442863913143,0.3587150573730469,0.3587150573730469
419919,368.7037037,14.0,0.6790123457,5.0,0.0,0.0,0.0,5.0,4682.963725,696.7894326,27.0,6.649701495441098,12.701157265320955,1.889835728818582,6.720773171783029,0.005765579574289784,0.07322953289877679,0.038749152522667,0.03444814125234662,10.18218911004246,0.005765579574289784,0.07322953289877679,27.030033,0.0011123374656394677,-0.030033111572265625,0.030033111572265625
424775,676.943128,9.0,1.161137441,2.0,0.0,0.0,0.0,4.0,18940.75184,1363.473676,98.0,13.652568122648221,27.97982733935073,2.014162814575466,13.891542002898191,0.005174029036853692,0.14476843909995346,0.07187524168966794,0.04133261153269397,9.907136588692381,0.005174029036853692,0.14476843909995346,95.565155,0.024845356843909438,2.434844970703125,2.434844970703125
417539,231.7666667,7.0,0.5666666667,0.0,0.0,0.0,0.0,2.0,5112.249444,545.1454715,21.0,9.9063617257922,22.057742456197648,2.352130611627768,9.377771092793532,0.004107780778312115,0.09060837047452777,0.03852182783838827,0.09517219525251795,7.62441260342056,0.004107780778312115,0.09060837047452777,21.812458,0.03868847801571801,-0.8124580383300781,0.8124580383300781
421409,335.8378378,11.0,1.027027027,0.0,0.0,0.0,0.0,0.0,3151.168736,694.3276928,22.0,4.187075280350948,9.38300686022342,2.0674492706015153,4.5384459941275725,0.006981536643425241,0.06550780622016023,0.03168532701220814,0.027939099780088628,12.368831057254734,0.006981536643425241,0.06550780622016023,21.668348,0.015075076710094105,0.3316516876220703,0.3316516876220703
